ticket_id,category,description,resolution_time_hours,was_resolved_first_contact
TKT-1000,seat issue,I paid $65 extra for an aisle seat and was moved to a middle seat with zero notice or refund. I want my money back.,8.5,yes
TKT-1001,lost baggage,Still waiting for my bag from my flight 6 days ago. The tracking system just says 'in transit.' I've been buying clothes every day.,93.1,no
TKT-1002,flight delay,Delayed 6 hours due to 'mechanical issues.' We were never given food vouchers even though the delay was the airline's fault.,3.6,yes
TKT-1003,flight delay,Flight from Denver to Seattle delayed almost 5 hours. Weather was clear. Still not clear why this happened and no one explained.,1.1,no
TKT-1004,refund request,Used travel credit that was about to expire. Flight was then cancelled by airline. Now being told original credit can't be refunded.,700.4,no
TKT-1005,refund request,"Asked for refund to original payment method, got a voucher instead. I didn't ask for a voucher. Please fix this.",659.2,no
TKT-1006,app issue,Apple Wallet integration is broken. My boarding pass won't save. Have to screenshot everything like it's 2012.,6.8,yes
TKT-1007,lost baggage,My bag arrived but the handle is completely broken and there's a big scratch across the side. This was a brand new Samsonite bag.,28.5,no
TKT-1008,cancellation,My flight was cancelled 30 minutes before boarding and they rebooked me on a flight that's 2 days later. That does NOT work for me.,43.9,no
TKT-1009,lost baggage,Flew in from London Heathrow yesterday and my suitcase is completely missing. Filed a report at the counter but no one has called me back.,112.3,no
TKT-1010,flight delay,Gate agent told us 20 min delay. Then 40. Then 2 hours. Then just... nothing. Had to figure out a hotel on my own last minute.,6.5,yes
TKT-1011,cancellation,Flight cancelled due to 'operational reasons' — whatever that means. I've been on hold for 2 hours trying to get a refund.,8.0,no
TKT-1012,lost baggage,Flew in from London Heathrow yesterday and my suitcase is completely missing. Filed a report at the counter but no one has called me back.,117.6,no
TKT-1013,flight delay,Flight delayed AGAIN. This is the third time in two months on this route. I'm a Gold member and this is how you treat loyal customers?,4.0,yes
TKT-1014,seat issue,Family of 4 separated across plane on an international flight. Kids ages 6 and 9. Staff were unhelpful and rude about it.,2.8,yes
TKT-1015,cancellation,"Cancelled flight, got rebooked automatically but the new flight has a 9-hour layover. Not acceptable. Need a direct flight.",69.5,no
TKT-1016,flight delay,Short 45 minute delay but it caused a ripple effect on my whole day. Missed my medical appointment. Please advise on compensation.,16.9,no
TKT-1017,seat issue,"Paid for extra legroom seat and when I got on the plane, there was a wall in front of it. Not extra legroom at all.",11.9,yes
TKT-1018,refund request,Canceled due to medical emergency with documentation. Being told the ticket is non-refundable anyway. That can't be right.,650.1,no
TKT-1019,lost baggage,My bag arrived but the handle is completely broken and there's a big scratch across the side. This was a brand new Samsonite bag.,36.3,no
TKT-1020,refund request,"Asked for refund to original payment method, got a voucher instead. I didn't ask for a voucher. Please fix this.",184.2,yes
TKT-1021,refund request,Waiting 8 weeks for a refund on a cancelled flight. Keep getting told 'it's being processed.' This is now a dispute with my credit card.,516.7,yes
TKT-1022,flight delay,3 hour delay with zero communication. We sat on the tarmac and nobody told us anything. The wifi didn't even work to look things up.,21.8,no
TKT-1023,lost baggage,Flew in from London Heathrow yesterday and my suitcase is completely missing. Filed a report at the counter but no one has called me back.,67.5,no
TKT-1024,check-in problem,"Checked in, printed boarding pass, but the barcode wouldn't scan at security. Had to get a replacement and almost missed my connection.",1.7,yes
TKT-1025,flight delay,Missed an important client meeting because of a 3hr delay that wasn't weather-related. I need a written explanation for my employer.,14.3,yes
TKT-1026,lost baggage,My bag was delivered to the wrong address by your courier. Someone else's address was on the delivery slip. How does that even happen?,99.2,yes
TKT-1027,lost baggage,Flew in from London Heathrow yesterday and my suitcase is completely missing. Filed a report at the counter but no one has called me back.,83.2,no
TKT-1028,app issue,App showed my gate as B12. I went to B12 and the flight was gone. Gate had changed and app never updated.,4.0,no
TKT-1029,seat issue,The seat in front of me was completely broken and kept falling back into my lap the entire 8-hour flight.,1.7,no
TKT-1030,refund request,Waiting 8 weeks for a refund on a cancelled flight. Keep getting told 'it's being processed.' This is now a dispute with my credit card.,197.1,yes
TKT-1031,refund request,Canceled due to medical emergency with documentation. Being told the ticket is non-refundable anyway. That can't be right.,121.6,yes
TKT-1032,cancellation,Flight was cancelled but the website is still showing it as 'on time.' Your systems are completely broken.,19.5,no
TKT-1033,check-in problem,"Checked in, printed boarding pass, but the barcode wouldn't scan at security. Had to get a replacement and almost missed my connection.",4.9,no
